Rowid_,PLOT_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,201,447,0.000000016893317,0.176990732550621,0.486482679843903,0.309491947293282,0.339672147294286,0.083367344315488,151.833449840545654
,202,476,0.000000017989304,0.196048229932785,0.430268287658691,0.234220057725906,0.343657641788992,0.047900654144940,163.581037491559982
,203,455,0.000000017195658,0.248088121414185,0.455343067646027,0.207254946231842,0.390796116027203,0.029996276535567,177.812232792377472
,204,455,0.000000017195658,0.341950416564941,0.547531723976135,0.205581307411194,0.466969742093767,0.041865316406906,212.471232652664185
,205,476,0.000000017989304,0.329044997692108,0.513164639472961,0.184119641780853,0.439878795139429,0.027121551087137,209.382306486368179
,206,455,0.000000017195658,0.223697900772095,0.476437449455261,0.252739548683167,0.409151386101167,0.038354149924709,186.163880676031113
,301,464,0.000000017535792,0.222205564379692,0.434806555509567,0.212600991129875,0.372379153099810,0.034526279347680,172.783927038311958
,302,442,0.000000016704354,0.242609798908234,0.449822336435318,0.207212537527084,0.353301937898360,0.044569732659149,156.159456551074982
,303,490,0.000000018518401,0.259913772344589,0.479177474975586,0.219263702630997,0.408452992110836,0.033842404490571,200.141966134309769
,304,453,0.000000017120073,0.255920171737671,0.476634621620178,0.220714449882507,0.399213777472641,0.042360022087425,180.843841195106506
,305,442,0.000000016704354,0.297289580106735,0.463596940040588,0.166307359933853,0.417511078432135,0.030926881960360,184.539896667003632
,306,490,0.000000018518401,0.222993895411491,0.433758169412613,0.210764274001122,0.359414076136083,0.035912148411134,176.112897306680679
,401,454,0.000000017157866,0.287830978631973,0.421543240547180,0.133712261915207,0.370114182323086,0.024184476886095,168.031838774681091
,402,478,0.000000018064890,0.295164793729782,0.453708082437515,0.158543288707733,0.388214113634999,0.025982648801690,185.566346317529678
,403,455,0.000000017195658,0.304852217435837,0.463420093059540,0.158567875623703,0.408615581150893,0.031301561507328,185.920089423656464
,404,471,0.000000017800341,0.250047504901886,0.497189879417419,0.247142374515533,0.443075719089771,0.031569197012310,208.688663691282272
,405,452,0.000000017082281,0.290437996387482,0.450009286403656,0.159571290016174,0.401973020582073,0.027448629918364,181.691805303096771
,406,455,0.000000017195658,0.273811548948288,0.433082401752472,0.159270852804184,0.369740465250644,0.032997340935720,168.231911689043045
,501,442,0.000000016704354,0.271032929420471,0.417788773775101,0.146755844354630,0.357168679728228,0.029110964088160,157.868556439876556
,502,462,0.000000017460207,0.308759152889252,0.493843466043472,0.185084313154221,0.397582620446816,0.037569409308708,183.683170646429062
,503,488,0.000000018442816,0.276942789554596,0.456742525100708,0.179799735546112,0.402696520151173,0.031259179837086,196.515901833772659
,504,442,0.000000016704354,0.281128764152527,0.485145777463913,0.204017013311386,0.430192540808501,0.031597705112112,190.145103037357330
,505,474,0.000000017913719,0.263454765081406,0.466068536043167,0.202613770961761,0.403401749483644,0.031632277020984,191.212429255247116
,506,471,0.000000017800341,0.261458128690720,0.449610739946365,0.188152611255646,0.371033863530291,0.032553809028217,174.756949722766876
,601,476,0.000000017989304,0.270794570446014,0.455787718296051,0.184993147850037,0.359349199828981,0.042574025448708,171.050219118595123
,602,455,0.000000017195658,0.326288014650345,0.502703785896301,0.176415771245956,0.429924989270640,0.027032656548262,195.615870118141174
,603,457,0.000000017271244,0.280702978372574,0.495219349861145,0.214516371488571,0.426332734606720,0.038185408945970,194.834059715270996
,604,476,0.000000017989304,0.322358429431915,0.509945929050446,0.187587499618530,0.459519763578888,0.030526359977615,218.731407463550568
,605,455,0.000000017195658,0.304232627153397,0.517957985401154,0.213725358247757,0.436997570048322,0.034931168059028,198.833894371986389
,606,474,0.000000017913719,0.276684552431107,0.504469215869904,0.227784663438797,0.427040007106866,0.038142065434926,202.416963368654251
,801,459,0.000000017346829,0.258767753839493,0.430679202079773,0.171911448240280,0.369285157952693,0.030964570877396,169.501887500286102
,802,455,0.000000017195658,0.266174525022507,0.479460597038269,0.213286072015762,0.392111764373360,0.043313779804480,178.410852789878845
,803,476,0.000000017989304,0.355276733636856,0.507348299026489,0.152071565389633,0.464913018924348,0.025320172895627,221.298597007989883
,804,442,0.000000016704354,0.305299937725067,0.522396445274353,0.217096507549286,0.475919777788728,0.029421600973059,210.356541782617569
,805,456,0.000000017233451,0.294734001159668,0.465332329273224,0.170598328113556,0.416324415227823,0.027143276323114,189.843933343887329
,806,477,0.000000018027097,0.255644917488098,0.515085399150848,0.259440481662750,0.425534941615299,0.045867761763486,202.980167150497437
,901,486,0.000000018367231,0.237032294273376,0.427582830190659,0.190550535917282,0.360550567415761,0.031198593423049,175.227575764060020
,902,465,0.000000017573585,0.311274558305740,0.466822087764740,0.155547529459000,0.411330179052968,0.025487446627094,191.268533259630203
,903,442,0.000000016704354,0.373016059398651,0.495127588510513,0.122111529111862,0.447509521272927,0.018319697605607,197.799208402633667
,904,490,0.000000018518401,0.301738590002060,0.516104817390442,0.214366227388382,0.454707401869248,0.035669364165458,222.806626915931702
,905,455,0.000000017195658,0.159266814589500,0.485400736331940,0.326133921742439,0.411826702100890,0.043252607012295,187.381149455904961
,906,443,0.000000016742147,0.268417537212372,0.458507210016251,0.190089672803879,0.397150604033309,0.027415600445082,175.937717586755753
,1001,455,0.000000017195658,0.249952748417854,0.416024982929230,0.166072234511375,0.362167424323795,0.031497742291913,164.786178067326546
,1002,473,0.000000017875926,0.232750147581100,0.454961985349655,0.222211837768555,0.395730844763822,0.038308532438156,187.180689573287964
,1003,457,0.000000017271244,0.377072960138321,0.477438241243362,0.100365281105042,0.432280030696606,0.018669200231520,197.551974028348923
,1004,455,0.000000017195658,0.282411783933640,0.523528873920441,0.241117089986801,0.476080197226870,0.030982968583072,216.616489738225937
,1005,490,0.000000018518401,0.317036509513855,0.497327208518982,0.180290699005127,0.427673347385562,0.026633313034115,209.559940218925476
,1006,442,0.000000016704354,0.328182041645050,0.487349867820740,0.159167826175690,0.420173954842317,0.029199456386971,185.716888040304184
,1101,490,0.000000018518401,0.328347057104111,0.476418793201447,0.148071736097336,0.419182970025101,0.028220924400255,205.399655312299728
,1102,442,0.000000016704354,0.172138318419456,0.450926482677460,0.278788164258003,0.328308201247481,0.061475893098487,145.112224951386452
,1103,461,0.000000017422414,0.288669258356094,0.505991876125336,0.217322617769241,0.433838086311833,0.037902877785644,199.999357789754868
,1104,475,0.000000017951512,0.272120118141174,0.484216541051865,0.212096422910690,0.385672091433876,0.038198757634714,183.194243431091309
,1105,450,0.000000017006695,0.319569975137711,0.465754210948944,0.146184235811234,0.418485145237711,0.024410838965318,188.318315356969833
,1106,476,0.000000017989304,0.323507219552994,0.499714553356171,0.176207333803177,0.435062973814852,0.030395249594530,207.089975535869598
,1201,455,0.000000017195658,0.288820773363113,0.476750046014786,0.187929272651672,0.395940482485425,0.027749475109723,180.152919530868530
,1202,476,0.000000017989304,0.257328003644943,0.461706548929214,0.204378545284271,0.395787170704673,0.039959999140364,188.394693255424500
,1203,449,0.000000016968903,0.324336230754852,0.506565332412720,0.182229101657867,0.445516921032245,0.032162173822835,200.037097543478012
,1204,470,0.000000017762548,0.294597476720810,0.539656221866608,0.245058745145798,0.438667671921405,0.037278604724021,206.173805803060532
,1205,467,0.000000017649170,0.268846899271011,0.504009664058685,0.235162764787674,0.423666547720642,0.036735865310036,197.852277785539627
,1206,442,0.000000016704354,0.352836966514587,0.500196576118469,0.147359609603882,0.449441540969443,0.028069805079710,198.653161108493805
